id,name,class,mark,gender,column,new_column
1,John Deo,Four,75,female,0,1
2,Max Ruin,Three,85,male,0,1
3,Arnold,Three,83,male,0,1
4,Krish Star,Four,60,female,0,1
5,John Mike,Four,60,female,0,1
6,Alex John,Four,55,male,0,1
7,My John Rob,Fifth,75,male,0,1
8,Asruid,Five,85,male,0,1
9,Tes Qry,Six,78,male,0,1
10,Big John,Four,55,female,0,1
11,Ronald,Six,89,female,0,1
12,Recky,Six,94,female,0,1
13,Kty,Seven,88,female,0,1
14,Bigy,Seven,95,female,0,1
15,Tade Row,Four,88,male,0,1
16,Gimmy,Four,88,male,0,1
17,Tumyu,Six,54,male,0,1
18,Honny,Five,75,male,0,1
19,Tinny,Nine,18,male,0,1
20,Jackly,Nine,65,female,0,1
21,Babby John,Four,69,female,0,1
22,Reggid,Seven,55,female,0,1
23,Herod,Eight,79,male,0,1
24,Tiddy Now,Seven,78,male,0,1
25,Giff Tow,Seven,88,male,0,1
26,Crelea,Seven,79,male,0,1
27,Big Nose,Three,81,female,0,1
28,Rojj Base,Seven,86,female,0,1
29,Tess Played,Seven,55,male,0,1
30,Reppy Red,Six,79,female,0,1
31,Marry Toeey,Four,88,male,0,1
32,Binn Rott,Seven,90,female,0,1
33,Kenn Rein,Six,96,female,0,1
34,Gain Toe,Seven,69,male,0,1
35,Rows Noump,Six,88,female,0,1
